"region_final","test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","BV_num","BV_num_LL","BV_num_UL","BY_num","BY_num_LL","BY_num_UL","flu_num","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","BV_num_roll","BV_num_roll_LL","BV_num_roll_UL","BY_num_roll","BY_num_roll_LL","BY_num_roll_UL","flu_num_roll","test_roll","diff"
"Japan/Korea",218,22,22,22,0,0,0,22,1.1,42.9,22,1.1,42.9,66,2010-03-15,14.6,14.6,14.6,0,0,0,39.6,1.98,77.22,39.6,1.98,77.22,93.8,243.4,7
"Japan/Korea",296,8,8,8,0,0,0,52,2.6,101.4,52,2.6,101.4,112,2010-03-22,12.8,12.8,12.8,0,0,0,70.2,3.51,136.89,70.2,3.51,136.89,153.2,313,7
"Japan/Korea",385,9,9,9,0,0,0,109.5,5.475,213.525,109.5,5.475,213.525,228,2010-03-29,13.4,13.4,13.4,0.2,0.2,0.2,98.7,4.935,192.465,98.7,4.935,192.465,211,380.6,7
"Japan/Korea",515,8,8,8,0,0,0,161.5,8.075,314.925,161.5,8.075,314.925,331,2010-04-05,12.8,12.8,12.8,0.2,0.2,0.2,115.8,5.79,225.81,115.8,5.79,225.81,244.6,424,7
"Japan/Korea",489,20,20,20,1,1,1,148.5,7.425,289.575,148.5,7.425,289.575,318,2010-04-12,12.8,12.8,12.8,0.2,0.2,0.2,125.2,6.26,244.14,125.2,6.26,244.14,263.4,442.8,7
"Japan/Korea",435,19,19,19,0,0,0,107.5,5.375,209.625,107.5,5.375,209.625,234,2010-04-19,13.2,13.2,13.2,0.2,0.2,0.2,114.3,5.715,222.885,114.3,5.715,222.885,242,429.2,7
"Japan/Korea",390,8,8,8,0,0,0,99,4.95,193.05,99,4.95,193.05,206,2010-04-26,13.2,13.2,13.2,0.2,0.2,0.2,86.6,4.33,168.87,86.6,4.33,168.87,186.6,367.4,7
"Japan/Korea",317,11,11,11,0,0,0,55,2.75,107.25,55,2.75,107.25,121,2010-05-03,9.8,9.8,9.8,0,0,0,59.5,2.975,116.025,59.5,2.975,116.025,128.8,318.4,7
"Japan/Korea",206,8,8,8,0,0,0,23,1.15,44.85,23,1.15,44.85,54,2010-05-10,6.8,6.8,6.8,0,0,0,39.2,1.96,76.44,39.2,1.96,76.44,85.2,266.2,7
"Japan/Korea",244,3,3,3,0,0,0,13,0.65,25.35,13,0.65,25.35,29,2010-05-17,5.2,5.2,5.2,0,0,0,20,1,39,20,1,39,45.2,219.4,7
"Japan/Korea",174,4,4,4,0,0,0,6,0.3,11.7,6,0.3,11.7,16,2010-05-24,3,3,3,0,0,0,9.2,0.46,17.94,9.2,0.46,17.94,21.4,182.2,7
"Japan/Korea",156,0,0,0,0,0,0,3,0.15,5.85,3,0.15,5.85,6,2010-05-31,1.4,1.4,1.4,0,0,0,4.6,0.23,8.97000000000001,4.6,0.23,8.97000000000001,10.6,175.2,7
"Japan/Korea",131,0,0,0,0,0,0,1,0.05,1.95,1,0.05,1.95,2,2010-06-07,1,1,1,0.4,0.4,0.4,2,0.1,3.90000000000001,2,0.1,3.90000000000001,5.4,150,7
"Japan/Korea",171,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-06-14,0.2,0.2,0.2,0.4,0.4,0.4,0.8,0.0400000000000004,1.56000000000001,0.8,0.0400000000000004,1.56000000000001,2.2,141.6,7
"Japan/Korea",118,1,1,1,2,2,2,0,0,0,0,0,0,3,2010-06-21,0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.0100000000000004,0.390000000000008,0.2,0.0100000000000004,0.390000000000008,1,142.2,7
"Japan/Korea",132,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-06-28,0.2,0.2,0.2,0.4,0.4,0.4,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,0.6,142.8,7
"Japan/Korea",159,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-07-05,0.2,0.2,0.2,0.4,0.4,0.4,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,0.6,141.4,7
"Japan/Korea",134,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-07-12,0,0,0,0,0,0,0,3.91353616180368e-16,8.21565038222616e-15,0,3.91353616180368e-16,8.21565038222616e-15,0,145.2,7
