"test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","test_roll","diff"
17274,340.708229701086,307.13928868968,367.975324860582,536.98224648939,509.229733995451,571.139637441296,2012-09-03,292.053395740241,272.655841083612,311.856728941392,621.380138543038,601.157790401592,641.302282705199,17517.2,7
17978,272.291493048015,253.898343520843,293.81658039028,520.925898256333,498.948257551075,539.850505146738,2012-09-10,282.727195526349,263.056265070398,303.087957918293,536.489672090263,515.793273921945,556.571459887839,17724.4,7
18683,280.400608714217,260.280604359892,302.518988783693,467.599391285783,445.481011216307,487.719395640108,2012-09-17,276.848613633695,255.202279925667,299.037854048859,500.13295986527,477.756125310619,522.003275034044,18554.8,7
17964,235.064328155505,218.523476065825,254.448785395384,428.935671844495,409.551214604616,445.476523934175,2012-09-24,258.415864573359,239.550865939427,280.445069011077,547.027613687511,524.907898577194,565.998903794089,19385.8,7
20875,255.778408549655,236.169686992094,276.429590814355,546.221591450345,525.570409185645,565.830313007906,2012-10-01,250.966955811056,228.837280934544,276.153582734697,645.833044188944,620.646417265303,667.962719065456,20662.2,7
21429,248.544484399404,228.882218758482,275.011399671672,771.455515600596,744.988600328328,791.117781241518,2012-10-08,232.195546189425,209.020798873099,259.015628244426,697.804453810575,670.984371755574,720.979201126901,21650.2,7
24360,235.046949236501,200.330418496427,272.359149008381,1014.9530507635,977.640850991619,1049.66958150357,2012-10-15,220.05803735573,194.585028937131,251.657998374908,754.341962644271,722.742001625092,779.814971062869,22875.8,7
23623,186.543560606061,161.198194052665,216.829216332337,727.456439393939,697.170783667663,752.801805947335,2012-10-22,214.362647699096,188.20213959731,247.960469550915,827.637352300904,794.039530449085,853.79786040269,24023.8,7
24092,174.376783987027,146.344626385985,217.660636047798,711.623216012973,668.339363952202,739.655373614015,2012-10-29,214.6031554555,187.036829059649,248.891479371119,881.774622322278,847.420563385361,909.408584102683,25065.6,7
26615,227.301460266488,204.25524029299,257.941946694389,912.698539733512,882.058053305611,935.74475970701,2012-11-05,207.52792973426,179.937981927831,242.052108532528,1009.44984804352,974.859934223952,1037.1074312345,26047.6,7
26638,249.747023181422,223.055666070175,279.666448772693,1042.14186570747,1011.89376500971,1069.17139974148,2012-11-12,223.879798529577,193.42063246157,261.258509215397,1323.2979792482,1285.85353354108,1353.82478070076,27705.8,7
29270,199.670820630301,164.836182837337,238.162294815422,1653.3291793697,1614.83770518458,1688.16381716266,2012-11-19,260.39843089282,227.485468985335,297.950118917477,1970.37934688496,1932.761923839,2003.359944177,30105.2,7
31914,268.302904582646,228.611446721362,312.861219746685,2296.69709541735,2252.13878025332,2336.38855327864,2012-11-26,334.217770025665,294.201814213217,377.346402085679,2938.16000775211,2894.9656406708,2978.24359894911,32996.6,7
