"year_month","region","climate","epoch","antigen_drift","inter_air_traffic","persistence"
"2020-05","Oceania","most-tropical","pan1",0.25177392691458,0.0526587671781153,0.217178342915231
"2020-06","Oceania","most-tropical","pan1",0.275849179338483,0.095603429573439,0.237753854994794
"2020-07","Oceania","most-tropical","pan1",0.298231768593218,0.180271882675209,0.314229444338308
"2020-08","Oceania","most-tropical","pan1",0.318921694678784,0.14651985773887,0.394701098438947
"2020-09","Oceania","most-tropical","pan1",0.337918957595182,0.183029790363847,0.523993078913858
"2020-10","Oceania","most-tropical","pan1",0.35691622051158,0.221083629594237,0.591270425842304
"2020-11","Oceania","most-tropical","pan1",0.375913483427978,0.222938809570917,0.564281302222523
"2020-12","Oceania","most-tropical","pan1",0.365715713148048,0.354890887212953,0.388696842165058
"2021-01","Oceania","most-tropical","pan1",0.32632290967179,0.319975750255581,0.211908142121934
"2021-02","Oceania","most-tropical","pan1",0.294796306773847,0.302175059072652,0.12979013829177
"2021-03","Oceania","most-tropical","pan1",0.281672130884902,0.431549029282405,0.202108169409789
"2021-04","Oceania","most-tropical","pan2",0.285957059791405,0.543367670446625,0.27228707677799
"2021-05","Oceania","most-tropical","pan2",0.270589859718713,0.537084792706258,0.314086845749153
"2021-06","Oceania","most-tropical","pan2",0.254229337432472,0.474335434845872,0.300549218375719
"2021-07","Oceania","most-tropical","pan2",0.269685599433549,0.357353242407661,0.243489713720404
"2021-08","Oceania","most-tropical","pan2",0.28211770866499,0.222386366296209,0.197855465586981
"2021-09","Oceania","most-tropical","pan2",0.283897122203126,0.180040727552887,0.182148307906166
"2021-10","Oceania","most-tropical","pan2",0.272174038860046,0.195639447850182,0.199552761870117
"2021-11","Oceania","most-tropical","pan2",0.245417864792804,0.239371085719889,0.204560160015658
"2021-12","Oceania","most-tropical","pan2",0.22802579925262,0.41151783673275,0.234703951850272
"2022-01","Oceania","most-tropical","pan2",0.206869264066597,0.41771803430342,0.274565328724664
"2022-02","Oceania","most-tropical","pan2",0.196477108528057,0.359537978553696,0.335651938085137
"2022-03","Oceania","most-tropical","pan2",0.19142417277685,0.473842381552214,0.395092310294967
"2022-04","Oceania","most-tropical","pan2",0.175682794665976,0.621439294065066,0.469037758507064
"2022-05","Oceania","most-tropical","pan2",0.173230614557383,0.638307446094567,0.532286070774805
"2022-06","Oceania","most-tropical","pan2",0.173318409418319,0.698679690850694,0.548390618964271
"2022-07","Oceania","most-tropical","pan2",0.181784075836045,0.783153321524431,0.586996423852614
"2022-08","Oceania","most-tropical","pan2",0.197236923143733,0.718934585662304,0.54694394088517
"2022-09","Oceania","most-tropical","pan2",0.216207352688675,0.741667789447844,0.393523493342183
"2022-10","Oceania","most-tropical","pan2",0.231704651049288,0.772479428067495,0.202565527338583
"2022-11","Oceania","most-tropical","pan2",0.235588269655748,0.761183220769911,0.0898268405295647
