"date","region","bv_seq"
2019-11-14,"Oceania",3
2019-11-21,"Africa",15
2019-11-21,"Americas",238
2019-11-21,"Asia",25
2019-11-21,"Europe",62
2019-11-21,"Oceania",1
2019-11-28,"Africa",13
2019-11-28,"Americas",172
2019-11-28,"Asia",37
2019-11-28,"Europe",86
2019-11-28,"Oceania",2
2019-12-05,"Africa",3
2019-12-05,"Americas",220
2019-12-05,"Asia",62
2019-12-05,"Europe",75
2019-12-05,"Oceania",5
2019-12-12,"Africa",3
2019-12-12,"Americas",280
2019-12-12,"Asia",58
2019-12-12,"Europe",122
2019-12-19,"Africa",10
2019-12-19,"Americas",272
2019-12-19,"Asia",44
2019-12-19,"Europe",128
2019-12-26,"Africa",5
2019-12-26,"Americas",176
2019-12-26,"Asia",38
2019-12-26,"Europe",82
2020-01-02,"Africa",3
2020-01-02,"Americas",210
2020-01-02,"Asia",37
2020-01-02,"Europe",93
2020-01-02,"Oceania",3
2020-01-09,"Africa",14
2020-01-09,"Americas",259
2020-01-09,"Asia",47
2020-01-09,"Europe",101
2020-01-09,"Oceania",4
2020-01-16,"Africa",17
2020-01-16,"Americas",214
2020-01-16,"Asia",49
2020-01-16,"Europe",131
2020-01-16,"Oceania",1
2020-01-23,"Africa",6
2020-01-23,"Americas",240
2020-01-23,"Asia",49
2020-01-23,"Europe",92
2020-01-23,"Oceania",3
2020-01-30,"Africa",7
2020-01-30,"Americas",241
2020-01-30,"Asia",49
2020-01-30,"Europe",120
2020-01-30,"Oceania",7
2020-02-06,"Africa",4
2020-02-06,"Americas",210
2020-02-06,"Asia",34
2020-02-06,"Europe",111
2020-02-06,"Oceania",4
2020-02-13,"Africa",6
2020-02-13,"Americas",151
2020-02-13,"Asia",11
2020-02-13,"Europe",101
2020-02-13,"Oceania",2
2020-02-20,"Africa",5
2020-02-20,"Americas",138
2020-02-20,"Asia",18
2020-02-20,"Europe",96
2020-02-20,"Oceania",1
2020-02-27,"Africa",4
2020-02-27,"Americas",104
2020-02-27,"Asia",16
2020-02-27,"Europe",97
2020-02-27,"Oceania",1
2020-03-05,"Africa",3
2020-03-05,"Americas",106
2020-03-05,"Asia",21
2020-03-05,"Europe",106
2020-03-05,"Oceania",2
2020-03-12,"Africa",10
2020-03-12,"Americas",80
2020-03-12,"Asia",23
2020-03-12,"Europe",93
2020-03-12,"Oceania",2
2020-03-19,"Africa",1
2020-03-19,"Americas",36
2020-03-19,"Asia",18
2020-03-19,"Europe",45
2020-03-26,"Africa",3
2020-03-26,"Americas",6
2020-03-26,"Asia",5
2020-03-26,"Europe",29
2020-04-02,"Africa",1
2020-04-02,"Americas",7
2020-04-02,"Asia",4
2020-04-02,"Europe",3
2020-04-09,"Africa",2
2020-04-09,"Americas",1
2020-04-09,"Asia",1
2020-04-09,"Europe",1
2020-04-16,"Africa",1
2020-04-16,"Americas",2
2020-04-16,"Asia",1
2020-04-23,"Africa",1
2020-04-23,"Americas",2
2020-04-23,"Asia",3
2020-04-23,"Europe",1
2020-05-14,"Asia",2
2020-05-28,"Africa",1
2020-06-11,"Africa",1
2020-06-11,"Asia",1
2020-07-09,"Asia",1
2020-07-23,"Asia",1
2020-08-13,"Asia",1
2020-08-27,"Asia",1
2020-09-03,"Africa",1
2020-09-10,"Asia",1
2020-10-01,"Africa",1
2020-10-01,"Asia",2
2020-10-08,"Africa",1
2020-10-15,"Africa",1
2020-10-15,"Asia",1
2020-10-15,"Europe",2
2020-10-22,"Africa",2
2020-10-22,"Asia",1
2020-10-22,"Europe",1
2020-10-29,"Africa",2
2020-10-29,"Americas",1
2020-10-29,"Asia",3
2020-11-05,"Africa",4
2020-11-05,"Asia",1
2020-11-12,"Africa",5
2020-11-12,"Americas",1
2020-11-12,"Asia",5
2020-11-19,"Africa",2
2020-11-19,"Asia",1
2020-11-19,"Europe",1
2020-11-26,"Africa",2
2020-11-26,"Asia",2
2020-11-26,"Europe",1
2020-12-03,"Africa",1
2020-12-03,"Americas",1
2020-12-03,"Asia",29
2020-12-10,"Americas",3
2020-12-10,"Asia",27
2020-12-10,"Europe",2
2020-12-17,"Americas",3
2020-12-17,"Asia",14
2020-12-24,"Americas",7
2020-12-24,"Asia",25
2020-12-24,"Europe",2
2020-12-31,"Africa",1
2020-12-31,"Asia",29
2021-01-07,"Africa",1
2021-01-07,"Americas",7
2021-01-07,"Asia",55
2021-01-07,"Europe",3
2021-01-14,"Americas",6
2021-01-14,"Asia",52
2021-01-21,"Americas",5
2021-01-21,"Asia",33
2021-01-21,"Europe",1
2021-01-28,"Africa",1
2021-01-28,"Americas",5
2021-01-28,"Asia",18
2021-01-28,"Europe",4
2021-02-04,"Americas",1
2021-02-04,"Asia",27
2021-02-11,"Americas",3
2021-02-11,"Asia",6
2021-02-18,"Africa",3
2021-02-18,"Asia",10
2021-02-18,"Europe",1
2021-02-25,"Africa",3
2021-02-25,"Asia",17
2021-03-04,"Africa",2
2021-03-04,"Americas",1
2021-03-04,"Asia",26
2021-03-04,"Europe",4
2021-03-11,"Africa",4
2021-03-11,"Americas",2
2021-03-11,"Asia",23
2021-03-11,"Europe",2
2021-03-18,"Africa",2
2021-03-18,"Asia",43
2021-03-18,"Europe",3
2021-03-25,"Africa",1
2021-03-25,"Asia",20
2021-03-25,"Europe",2
2021-04-01,"Africa",1
2021-04-01,"Asia",31
2021-04-08,"Africa",2
2021-04-08,"Asia",18
2021-04-08,"Europe",1
2021-04-15,"Africa",3
2021-04-15,"Asia",25
