"date","region","h3n2_seq"
2019-07-11,"Americas",34
2019-07-11,"Asia",45
2019-07-11,"Oceania",32
2019-07-18,"Africa",13
2019-07-18,"Americas",30
2019-07-18,"Asia",44
2019-07-18,"Europe",1
2019-07-18,"Oceania",15
2019-07-25,"Africa",6
2019-07-25,"Americas",16
2019-07-25,"Asia",25
2019-07-25,"Europe",2
2019-07-25,"Oceania",17
2019-08-01,"Africa",4
2019-08-01,"Americas",9
2019-08-01,"Asia",33
2019-08-01,"Europe",4
2019-08-01,"Oceania",20
2019-08-08,"Africa",11
2019-08-08,"Americas",16
2019-08-08,"Asia",30
2019-08-08,"Europe",6
2019-08-08,"Oceania",16
2019-08-15,"Africa",2
2019-08-15,"Americas",9
2019-08-15,"Asia",18
2019-08-15,"Europe",4
2019-08-15,"Oceania",17
2019-08-22,"Africa",2
2019-08-22,"Americas",17
2019-08-22,"Asia",47
2019-08-22,"Europe",7
2019-08-22,"Oceania",12
2019-08-29,"Africa",3
2019-08-29,"Americas",21
2019-08-29,"Asia",33
2019-08-29,"Europe",3
2019-08-29,"Oceania",10
2019-09-05,"Africa",5
2019-09-05,"Americas",28
2019-09-05,"Asia",44
2019-09-05,"Europe",1
2019-09-05,"Oceania",41
2019-09-12,"Africa",13
2019-09-12,"Americas",43
2019-09-12,"Asia",21
2019-09-12,"Europe",9
2019-09-12,"Oceania",20
2019-09-19,"Africa",5
2019-09-19,"Americas",40
2019-09-19,"Asia",33
2019-09-19,"Europe",2
2019-09-19,"Oceania",26
2019-09-26,"Africa",17
2019-09-26,"Americas",48
2019-09-26,"Asia",22
2019-09-26,"Europe",11
2019-09-26,"Oceania",11
2019-10-03,"Africa",3
2019-10-03,"Americas",57
2019-10-03,"Asia",29
2019-10-03,"Europe",16
2019-10-03,"Oceania",18
2019-10-10,"Africa",5
2019-10-10,"Americas",56
2019-10-10,"Asia",36
2019-10-10,"Europe",28
2019-10-10,"Oceania",16
2019-10-17,"Africa",13
2019-10-17,"Americas",56
2019-10-17,"Asia",34
2019-10-17,"Europe",28
2019-10-17,"Oceania",8
2019-10-24,"Africa",15
2019-10-24,"Americas",52
2019-10-24,"Asia",28
2019-10-24,"Europe",46
2019-10-24,"Oceania",18
2019-10-31,"Africa",24
2019-10-31,"Americas",52
2019-10-31,"Asia",40
2019-10-31,"Europe",36
2019-10-31,"Oceania",5
2019-11-07,"Africa",36
2019-11-07,"Americas",53
2019-11-07,"Asia",59
2019-11-07,"Europe",56
2019-11-07,"Oceania",7
2019-11-14,"Africa",10
2019-11-14,"Americas",52
2019-11-14,"Asia",44
2019-11-14,"Europe",99
2019-11-14,"Oceania",10
2019-11-21,"Africa",9
2019-11-21,"Americas",55
2019-11-21,"Asia",69
2019-11-21,"Europe",161
