,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"b[Japan/Korea, 2017-11]",-0.122,0.514,-0.986,0.688,0.004,0.006,17318.0,6238.0,1.0
"b[Japan/Korea, 2017-12]",-0.106,0.505,-0.958,0.7,0.004,0.006,17538.0,5744.0,1.0
"b[Japan/Korea, 2018-01]",-0.101,0.502,-0.907,0.74,0.004,0.006,16998.0,5706.0,1.0
"b[Japan/Korea, 2018-02]",-0.053,0.49,-0.856,0.744,0.004,0.006,15141.0,5446.0,1.0
"b[Japan/Korea, 2018-03]",-0.132,0.497,-0.939,0.683,0.004,0.006,16768.0,6044.0,1.0
"b[Japan/Korea, 2018-04]",-0.146,0.488,-0.921,0.686,0.004,0.006,15766.0,5999.0,1.0
"b[Japan/Korea, 2018-05]",-0.177,0.447,-0.907,0.539,0.004,0.005,14516.0,5908.0,1.0
"b[Japan/Korea, 2018-06]",-0.187,0.419,-0.867,0.514,0.003,0.004,17067.0,6301.0,1.0
"b[Japan/Korea, 2018-07]",-0.244,0.398,-0.892,0.397,0.003,0.004,15935.0,6151.0,1.0
"b[Japan/Korea, 2018-08]",-0.263,0.46,-1.024,0.489,0.004,0.005,14751.0,6291.0,1.0
"b[Japan/Korea, 2018-09]",-0.217,0.498,-1.036,0.602,0.004,0.005,18507.0,5986.0,1.0
"b[Japan/Korea, 2018-10]",-0.235,0.526,-1.099,0.638,0.004,0.006,18111.0,5559.0,1.0
"b[Japan/Korea, 2018-11]",-0.244,0.497,-1.056,0.585,0.004,0.006,17261.0,5801.0,1.0
"b[Japan/Korea, 2018-12]",-0.292,0.493,-1.07,0.536,0.004,0.005,15413.0,5898.0,1.0
"b[Japan/Korea, 2019-01]",-0.334,0.518,-1.194,0.487,0.004,0.005,15217.0,5511.0,1.0
"b[Japan/Korea, 2019-02]",-0.335,0.514,-1.198,0.491,0.004,0.005,16075.0,5336.0,1.0
"b[Japan/Korea, 2019-03]",-0.399,0.502,-1.183,0.469,0.004,0.005,16553.0,6036.0,1.0
"b[Japan/Korea, 2019-04]",-0.399,0.498,-1.238,0.4,0.004,0.005,15637.0,6081.0,1.0
"b[Japan/Korea, 2019-05]",-0.353,0.528,-1.216,0.499,0.004,0.006,18189.0,5637.0,1.0
"b[Japan/Korea, 2019-06]",-0.306,0.528,-1.153,0.596,0.004,0.005,17177.0,5915.0,1.0
"b[Japan/Korea, 2019-07]",-0.22,0.558,-1.112,0.712,0.004,0.007,18007.0,5399.0,1.0
"b[Japan/Korea, 2019-08]",-0.227,0.549,-1.138,0.654,0.004,0.006,18398.0,5746.0,1.0
"b[Japan/Korea, 2019-09]",-0.206,0.542,-1.074,0.676,0.004,0.007,19035.0,5540.0,1.0
"b[Japan/Korea, 2019-10]",-0.21,0.552,-1.103,0.715,0.004,0.007,18919.0,5568.0,1.0
"b[Japan/Korea, 2019-11]",-0.228,0.546,-1.145,0.665,0.004,0.006,17653.0,5536.0,1.0
"b[Japan/Korea, 2019-12]",-0.237,0.527,-1.078,0.64,0.004,0.006,14015.0,5083.0,1.0
"b[Japan/Korea, 2020-01]",-0.231,0.519,-1.01,0.698,0.004,0.006,16831.0,6340.0,1.0
"b[Japan/Korea, 2020-02]",-0.265,0.536,-1.138,0.608,0.004,0.006,18745.0,5610.0,1.0
"b[Japan/Korea, 2020-03]",-0.354,0.518,-1.186,0.497,0.004,0.005,15489.0,5353.0,1.0
"b[Japan/Korea, 2020-04]",-0.367,0.547,-1.27,0.521,0.004,0.006,15970.0,5520.0,1.0
"b[Japan/Korea, 2020-05]",-0.33,0.539,-1.225,0.527,0.004,0.006,17503.0,5293.0,1.0
"b[Japan/Korea, 2020-06]",-0.289,0.54,-1.176,0.59,0.004,0.006,17310.0,5718.0,1.0
"b[Japan/Korea, 2020-07]",-0.256,0.558,-1.153,0.685,0.004,0.006,18014.0,5869.0,1.0
"b[Japan/Korea, 2020-08]",-0.241,0.549,-1.146,0.648,0.004,0.006,18250.0,5446.0,1.0
"b[Japan/Korea, 2020-09]",-0.227,0.548,-1.066,0.751,0.004,0.006,18903.0,5830.0,1.0
"b[Japan/Korea, 2020-10]",-0.216,0.563,-1.135,0.698,0.004,0.007,17412.0,5584.0,1.0
"b[Japan/Korea, 2020-11]",-0.207,0.559,-1.136,0.697,0.004,0.007,16671.0,5566.0,1.0
"b[Japan/Korea, 2020-12]",-0.202,0.552,-1.097,0.685,0.004,0.006,19175.0,5986.0,1.0
"b[Japan/Korea, 2021-01]",-0.198,0.55,-1.037,0.766,0.004,0.007,18882.0,5555.0,1.0
"b[Japan/Korea, 2021-02]",-0.206,0.563,-1.1,0.734,0.004,0.007,19924.0,5047.0,1.0
"b[Japan/Korea, 2021-03]",-0.225,0.547,-1.129,0.668,0.004,0.007,17114.0,5287.0,1.0
"b[Japan/Korea, 2021-04]",-0.308,0.536,-1.161,0.559,0.004,0.006,17872.0,5086.0,1.0
"b[Japan/Korea, 2021-05]",-0.306,0.559,-1.242,0.591,0.004,0.006,17671.0,5479.0,1.0
"b[Japan/Korea, 2021-06]",-0.315,0.545,-1.195,0.575,0.004,0.006,17656.0,5532.0,1.0
"b[Japan/Korea, 2021-07]",-0.322,0.537,-1.189,0.571,0.004,0.006,18267.0,6092.0,1.0
"b[Japan/Korea, 2021-08]",-0.322,0.555,-1.227,0.603,0.004,0.006,17476.0,5114.0,1.0
"b[Japan/Korea, 2021-09]",-0.315,0.546,-1.237,0.576,0.004,0.006,16568.0,5572.0,1.0
"b[Japan/Korea, 2021-10]",-0.303,0.547,-1.188,0.596,0.004,0.006,18661.0,5932.0,1.0
"b[Japan/Korea, 2021-11]",-0.297,0.546,-1.184,0.61,0.004,0.006,16923.0,5151.0,1.0
"b[Japan/Korea, 2021-12]",-0.28,0.549,-1.153,0.663,0.004,0.006,16685.0,5581.0,1.0
"b[Japan/Korea, 2022-01]",-0.257,0.553,-1.132,0.669,0.004,0.007,16643.0,5232.0,1.0
"b[Japan/Korea, 2022-02]",-0.227,0.545,-1.137,0.651,0.004,0.006,18799.0,5419.0,1.0
"b[Japan/Korea, 2022-03]",-0.203,0.553,-1.086,0.73,0.004,0.007,16959.0,5716.0,1.0
"b[Japan/Korea, 2022-04]",-0.185,0.553,-1.09,0.725,0.004,0.007,17173.0,5463.0,1.0
"b[Japan/Korea, 2022-05]",-0.154,0.553,-1.089,0.731,0.004,0.007,17896.0,5875.0,1.0
"b[Japan/Korea, 2022-06]",-0.13,0.544,-1.001,0.792,0.004,0.007,16752.0,5413.0,1.0
"b[Japan/Korea, 2022-07]",-0.15,0.557,-1.104,0.728,0.004,0.008,23016.0,5272.0,1.0
"b[Japan/Korea, 2022-08]",-0.146,0.547,-1.057,0.734,0.004,0.007,17318.0,5480.0,1.0
"b[Japan/Korea, 2022-09]",-0.126,0.55,-1.004,0.8,0.004,0.007,15930.0,5795.0,1.0
"b[Japan/Korea, 2022-10]",-0.138,0.548,-1.017,0.776,0.004,0.007,17097.0,5169.0,1.0
"b[Japan/Korea, 2022-11]",-0.174,0.549,-1.043,0.756,0.004,0.007,19750.0,5726.0,1.0
"b[Japan/Korea, 2022-12]",-0.205,0.56,-1.126,0.697,0.004,0.007,15788.0,5107.0,1.0
"b[Japan/Korea, 2023-01]",-0.199,0.554,-1.094,0.739,0.004,0.007,16262.0,6119.0,1.0
"b[Japan/Korea, 2023-02]",-0.188,0.542,-1.065,0.691,0.004,0.007,18193.0,5718.0,1.0
"b[Japan/Korea, 2023-03]",-0.183,0.544,-1.037,0.75,0.004,0.007,18940.0,5569.0,1.0
"b[Japan/Korea, 2023-04]",-0.154,0.55,-1.034,0.759,0.004,0.007,16455.0,5928.0,1.0
"b[Japan/Korea, 2023-05]",-0.188,0.541,-1.063,0.721,0.004,0.007,16059.0,5099.0,1.0
"b[Japan/Korea, 2023-06]",-0.208,0.507,-1.012,0.629,0.004,0.006,16346.0,5859.0,1.0
"b[Japan/Korea, 2023-07]",-0.315,0.47,-1.071,0.473,0.004,0.005,13878.0,5606.0,1.0
"b[Japan/Korea, 2023-08]",-0.446,0.416,-1.106,0.244,0.004,0.003,14009.0,6462.0,1.0
"b[Japan/Korea, 2023-09]",-0.428,0.341,-0.966,0.147,0.003,0.003,14458.0,5924.0,1.0
"b[Japan/Korea, 2023-10]",-0.525,0.313,-1.058,-0.03,0.003,0.002,12057.0,5922.0,1.0
"b[Japan/Korea, 2023-11]",-0.479,0.304,-1.009,-0.005,0.003,0.002,14559.0,5513.0,1.0
"b[Japan/Korea, 2023-12]",-0.501,0.307,-1.007,-0.001,0.003,0.002,13804.0,5872.0,1.0
"b[North America, 2017-01]",-0.143,0.484,-0.948,0.644,0.004,0.006,15844.0,5654.0,1.0
"b[North America, 2017-02]",-0.138,0.516,-1.002,0.684,0.004,0.007,17020.0,5522.0,1.0
"b[North America, 2017-03]",-0.197,0.52,-1.01,0.693,0.004,0.006,15853.0,4918.0,1.0
"b[North America, 2017-04]",-0.207,0.559,-1.098,0.747,0.004,0.007,18459.0,5756.0,1.0
"b[North America, 2017-05]",-0.221,0.558,-1.166,0.667,0.004,0.006,16762.0,5347.0,1.0
"b[North America, 2017-06]",-0.241,0.542,-1.159,0.622,0.004,0.006,18452.0,5459.0,1.0
"b[North America, 2017-07]",-0.248,0.529,-1.09,0.637,0.004,0.006,17068.0,5998.0,1.0
"b[North America, 2017-08]",-0.235,0.538,-1.139,0.624,0.004,0.007,15896.0,4939.0,1.0
"b[North America, 2017-09]",-0.231,0.538,-1.104,0.661,0.004,0.007,16676.0,4936.0,1.0
"b[North America, 2017-10]",-0.255,0.53,-1.135,0.606,0.004,0.006,18659.0,5655.0,1.0
"b[North America, 2017-11]",-0.283,0.542,-1.19,0.594,0.004,0.006,19116.0,5344.0,1.0
"b[North America, 2017-12]",-0.298,0.537,-1.183,0.576,0.004,0.006,15100.0,5383.0,1.0
"b[North America, 2018-01]",-0.282,0.548,-1.148,0.621,0.004,0.006,19751.0,5421.0,1.0
"b[North America, 2018-02]",-0.225,0.548,-1.133,0.665,0.004,0.006,18731.0,5901.0,1.0
"b[North America, 2018-03]",-0.156,0.563,-1.091,0.75,0.004,0.007,17934.0,5272.0,1.0
"b[North America, 2018-04]",-0.179,0.564,-1.13,0.729,0.004,0.007,18422.0,5238.0,1.0
"b[North America, 2018-05]",-0.239,0.564,-1.163,0.69,0.004,0.007,18725.0,5223.0,1.0
"b[North America, 2018-06]",-0.286,0.556,-1.2,0.621,0.004,0.006,17556.0,5050.0,1.0
"b[North America, 2018-07]",-0.253,0.542,-1.156,0.628,0.004,0.006,19499.0,5409.0,1.0
"b[North America, 2018-08]",-0.276,0.552,-1.172,0.62,0.004,0.006,18459.0,5451.0,1.0
"b[North America, 2018-09]",-0.395,0.523,-1.255,0.451,0.004,0.005,16384.0,5796.0,1.0
"b[North America, 2018-10]",-0.468,0.514,-1.265,0.434,0.004,0.005,15715.0,5327.0,1.0
"b[North America, 2018-11]",-0.306,0.539,-1.161,0.603,0.004,0.006,18485.0,5872.0,1.0
"b[North America, 2018-12]",0.13,0.53,-0.746,0.991,0.004,0.007,16301.0,5748.0,1.0
"b[North America, 2019-01]",0.336,0.476,-0.461,1.099,0.005,0.005,11162.0,5624.0,1.0
"b[North America, 2019-02]",0.382,0.431,-0.337,1.084,0.004,0.004,12877.0,6058.0,1.0
"b[North America, 2019-03]",0.251,0.464,-0.503,1.011,0.004,0.005,13838.0,6748.0,1.0
"b[North America, 2019-04]",0.06,0.512,-0.798,0.886,0.004,0.006,15177.0,6063.0,1.0
"b[North America, 2019-05]",-0.146,0.552,-1.023,0.785,0.004,0.007,17331.0,5672.0,1.0
"b[North America, 2019-06]",-0.193,0.556,-1.084,0.747,0.004,0.006,17640.0,6209.0,1.0
"b[North America, 2019-07]",-0.207,0.542,-1.088,0.696,0.004,0.006,18929.0,5925.0,1.0
"b[North America, 2019-08]",-0.207,0.547,-1.097,0.689,0.004,0.007,18357.0,5872.0,1.0
"b[North America, 2019-09]",-0.189,0.555,-1.106,0.707,0.004,0.007,16894.0,5386.0,1.0
"b[North America, 2019-10]",-0.207,0.544,-1.099,0.684,0.004,0.007,17197.0,4774.0,1.0
"b[North America, 2019-11]",-0.213,0.556,-1.146,0.676,0.004,0.006,17947.0,5878.0,1.0
"b[North America, 2019-12]",-0.228,0.533,-1.1,0.634,0.004,0.006,17447.0,5001.0,1.0
"b[North America, 2020-01]",-0.222,0.481,-1.0,0.596,0.004,0.005,17659.0,5778.0,1.0
"b[North America, 2020-02]",-0.167,0.45,-0.906,0.565,0.003,0.005,17873.0,5692.0,1.0
"b[North America, 2020-03]",-0.328,0.486,-1.124,0.474,0.003,0.005,19911.0,5160.0,1.0
"b[North America, 2020-04]",-0.404,0.544,-1.295,0.479,0.004,0.005,19563.0,6073.0,1.0
"b[North America, 2020-05]",-0.54,0.519,-1.408,0.29,0.004,0.004,13804.0,6091.0,1.0
"b[North America, 2020-06]",-0.735,0.433,-1.425,-0.009,0.004,0.003,13937.0,6240.0,1.0
"b[North America, 2020-07]",-0.756,0.327,-1.284,-0.215,0.003,0.002,11168.0,6447.0,1.0
"b[North America, 2020-08]",-0.763,0.339,-1.327,-0.216,0.003,0.002,11893.0,6094.0,1.0
"b[North America, 2020-09]",-0.726,0.418,-1.424,-0.064,0.004,0.003,12948.0,6656.0,1.0
"b[North America, 2020-10]",-0.537,0.503,-1.359,0.285,0.004,0.004,15171.0,6298.0,1.0
"b[North America, 2020-11]",-0.47,0.525,-1.278,0.453,0.004,0.005,14538.0,6202.0,1.0
"b[North America, 2020-12]",-0.61,0.483,-1.413,0.184,0.004,0.004,14346.0,5922.0,1.0
"b[North America, 2021-01]",-0.606,0.489,-1.423,0.179,0.004,0.004,14246.0,6140.0,1.0
"b[North America, 2021-02]",-0.58,0.503,-1.376,0.277,0.004,0.004,13186.0,6011.0,1.0
"b[North America, 2021-03]",-0.541,0.516,-1.351,0.343,0.004,0.004,14660.0,5967.0,1.0
"b[North America, 2021-04]",-0.498,0.522,-1.393,0.32,0.004,0.005,17002.0,5634.0,1.0
"b[North America, 2021-05]",-0.444,0.519,-1.283,0.419,0.004,0.005,15796.0,5854.0,1.0
"b[North America, 2021-06]",-0.41,0.523,-1.238,0.476,0.004,0.005,16349.0,5785.0,1.0
"b[North America, 2021-07]",-0.392,0.488,-1.165,0.408,0.004,0.005,14719.0,5887.0,1.0
"b[North America, 2021-08]",-0.394,0.421,-1.096,0.282,0.003,0.004,15804.0,5693.0,1.0
"b[North America, 2021-09]",-0.392,0.388,-1.04,0.231,0.003,0.003,16492.0,6039.0,1.0
"b[North America, 2021-10]",-0.271,0.416,-0.973,0.373,0.003,0.004,17860.0,5703.0,1.0
"b[North America, 2021-11]",-0.247,0.496,-1.04,0.61,0.004,0.006,18203.0,4837.0,1.0
"b[North America, 2021-12]",-0.216,0.533,-1.069,0.669,0.004,0.006,18272.0,6005.0,1.0
"b[North America, 2022-01]",-0.227,0.548,-1.135,0.632,0.004,0.007,18919.0,5763.0,1.0
"b[North America, 2022-02]",-0.171,0.541,-1.107,0.67,0.004,0.007,16130.0,5398.0,1.0
"b[North America, 2022-03]",-0.149,0.534,-1.024,0.738,0.004,0.007,17076.0,5630.0,1.0
"b[North America, 2022-04]",-0.118,0.527,-1.011,0.706,0.004,0.007,19331.0,5762.0,1.0
"b[North America, 2022-05]",-0.122,0.497,-0.904,0.723,0.004,0.006,17674.0,5648.0,1.0
"b[North America, 2022-06]",-0.162,0.502,-0.979,0.663,0.004,0.006,18221.0,5786.0,1.0
"b[North America, 2022-07]",-0.209,0.518,-1.063,0.611,0.004,0.006,17308.0,5926.0,1.0
"b[North America, 2022-08]",-0.214,0.529,-1.07,0.682,0.004,0.006,17516.0,5454.0,1.0
"b[North America, 2022-09]",-0.21,0.557,-1.118,0.718,0.004,0.007,16335.0,5973.0,1.0
"b[North America, 2022-10]",-0.202,0.562,-1.09,0.72,0.004,0.008,19534.0,5072.0,1.0
"b[North America, 2022-11]",-0.19,0.537,-1.016,0.74,0.004,0.006,17922.0,6274.0,1.0
"b[North America, 2022-12]",-0.194,0.548,-1.092,0.703,0.004,0.006,18597.0,5907.0,1.0
"b[North America, 2023-01]",-0.207,0.56,-1.137,0.697,0.004,0.007,18095.0,5832.0,1.0
"b[North America, 2023-02]",-0.219,0.533,-1.12,0.613,0.004,0.006,16668.0,5698.0,1.0
"b[North America, 2023-03]",-0.216,0.539,-1.049,0.715,0.004,0.006,14701.0,5526.0,1.0
"b[North America, 2023-04]",-0.171,0.559,-1.087,0.759,0.004,0.007,18555.0,5259.0,1.0
"b[North America, 2023-05]",-0.085,0.509,-0.916,0.731,0.004,0.007,17053.0,5651.0,1.0
"b[North America, 2023-06]",-0.063,0.478,-0.85,0.719,0.004,0.005,15333.0,6352.0,1.0
"b[North America, 2023-07]",-0.084,0.469,-0.82,0.728,0.004,0.006,17103.0,5630.0,1.0
"b[North America, 2023-08]",-0.052,0.442,-0.791,0.661,0.003,0.005,16112.0,5918.0,1.0
"b[North America, 2023-09]",0.064,0.394,-0.595,0.683,0.003,0.005,16344.0,5955.0,1.0
"b[North America, 2023-10]",-0.017,0.384,-0.645,0.629,0.003,0.005,16993.0,5780.0,1.0
"b[North America, 2023-11]",0.026,0.374,-0.639,0.587,0.003,0.005,15585.0,5529.0,1.0
"b[North America, 2023-12]",-0.035,0.349,-0.604,0.532,0.003,0.005,18332.0,5898.0,1.0
"b[North China, 2017-01]",-0.166,0.525,-1.02,0.693,0.004,0.006,16883.0,5528.0,1.0
"b[North China, 2017-02]",-0.192,0.554,-1.085,0.73,0.004,0.006,17654.0,5690.0,1.0
"b[North China, 2017-03]",-0.18,0.541,-1.059,0.717,0.004,0.007,19753.0,5632.0,1.0
"b[North China, 2017-04]",-0.114,0.503,-0.919,0.738,0.004,0.006,16974.0,5989.0,1.0
"b[North China, 2017-05]",-0.097,0.503,-0.938,0.72,0.004,0.007,17392.0,5104.0,1.0
"b[North China, 2017-06]",-0.084,0.515,-0.92,0.765,0.004,0.006,18203.0,6052.0,1.0
"b[North China, 2017-07]",-0.103,0.508,-0.942,0.706,0.004,0.006,15853.0,5692.0,1.0
"b[North China, 2017-08]",-0.122,0.544,-1.051,0.744,0.004,0.007,17619.0,5340.0,1.0
"b[North China, 2017-09]",-0.124,0.558,-0.99,0.846,0.004,0.007,17188.0,5365.0,1.0
"b[North China, 2017-10]",-0.116,0.534,-0.963,0.799,0.004,0.007,17321.0,5684.0,1.0
"b[North China, 2017-11]",-0.03,0.498,-0.883,0.752,0.004,0.007,16946.0,5201.0,1.0
"b[North China, 2017-12]",-0.028,0.458,-0.763,0.736,0.003,0.006,19193.0,5498.0,1.0
"b[North China, 2018-01]",-0.09,0.498,-0.933,0.694,0.004,0.006,16242.0,6057.0,1.0
"b[North China, 2018-02]",-0.092,0.528,-0.92,0.805,0.004,0.007,16236.0,5499.0,1.0
"b[North China, 2018-03]",-0.159,0.552,-1.062,0.724,0.004,0.007,17574.0,6524.0,1.0
"b[North China, 2018-04]",-0.158,0.548,-1.063,0.745,0.004,0.007,18966.0,5513.0,1.0
"b[North China, 2018-05]",-0.154,0.548,-0.985,0.784,0.004,0.007,17494.0,5184.0,1.0
"b[North China, 2018-06]",-0.142,0.542,-1.049,0.731,0.004,0.007,17952.0,5015.0,1.0
"b[North China, 2018-07]",-0.168,0.528,-1.017,0.709,0.004,0.006,17225.0,5797.0,1.0
"b[North China, 2018-08]",-0.166,0.538,-1.051,0.734,0.004,0.006,15449.0,5748.0,1.0
"b[North China, 2018-09]",-0.141,0.538,-1.046,0.723,0.004,0.007,15563.0,5356.0,1.0
"b[North China, 2018-10]",-0.149,0.541,-1.078,0.691,0.004,0.007,16446.0,5207.0,1.0
"b[North China, 2018-11]",-0.218,0.545,-1.09,0.707,0.004,0.007,19682.0,5183.0,1.0
"b[North China, 2018-12]",-0.231,0.549,-1.148,0.658,0.004,0.006,17708.0,5856.0,1.0
"b[North China, 2019-01]",-0.225,0.558,-1.138,0.671,0.004,0.006,16864.0,6012.0,1.0
"b[North China, 2019-02]",-0.165,0.554,-1.079,0.726,0.004,0.007,17638.0,4559.0,1.0
"b[North China, 2019-03]",-0.147,0.532,-1.062,0.69,0.004,0.006,15893.0,5732.0,1.0
"b[North China, 2019-04]",-0.148,0.538,-1.033,0.727,0.004,0.007,17834.0,5766.0,1.0
"b[North China, 2019-05]",-0.149,0.548,-0.987,0.792,0.004,0.007,17559.0,5552.0,1.0
"b[North China, 2019-06]",-0.187,0.554,-1.094,0.723,0.004,0.007,16876.0,5059.0,1.0
"b[North China, 2019-07]",-0.194,0.559,-1.105,0.733,0.004,0.007,16271.0,5784.0,1.0
"b[North China, 2019-08]",-0.2,0.548,-1.051,0.744,0.004,0.006,17079.0,6013.0,1.0
"b[North China, 2019-09]",-0.202,0.554,-1.074,0.745,0.004,0.007,16998.0,5895.0,1.0
"b[North China, 2019-10]",-0.21,0.555,-1.075,0.745,0.004,0.007,16267.0,5261.0,1.0
"b[North China, 2019-11]",-0.207,0.549,-1.058,0.729,0.004,0.007,18182.0,5235.0,1.0
"b[North China, 2019-12]",-0.193,0.525,-1.054,0.664,0.004,0.007,19115.0,5505.0,1.0
"b[North China, 2020-01]",-0.153,0.508,-0.977,0.674,0.004,0.006,16616.0,5794.0,1.0
"b[North China, 2020-02]",-0.371,0.521,-1.22,0.472,0.004,0.005,14675.0,6333.0,1.0
"b[North China, 2020-03]",-0.373,0.536,-1.252,0.492,0.004,0.006,18351.0,5315.0,1.0
"b[North China, 2020-04]",-0.412,0.535,-1.265,0.48,0.004,0.005,17463.0,6234.0,1.0
"b[North China, 2020-05]",-0.415,0.526,-1.27,0.443,0.004,0.005,15443.0,5550.0,1.0
"b[North China, 2020-06]",-0.421,0.522,-1.272,0.428,0.004,0.005,17804.0,5763.0,1.0
"b[North China, 2020-07]",-0.405,0.539,-1.246,0.513,0.004,0.005,16770.0,5453.0,1.0
"b[North China, 2020-08]",-0.366,0.538,-1.243,0.498,0.004,0.005,18798.0,5780.0,1.0
"b[North China, 2020-09]",-0.34,0.549,-1.253,0.541,0.004,0.006,17381.0,5716.0,1.0
"b[North China, 2020-10]",-0.325,0.539,-1.199,0.553,0.004,0.006,19472.0,6287.0,1.0
"b[North China, 2020-11]",-0.322,0.544,-1.22,0.547,0.004,0.006,15193.0,5927.0,1.0
"b[North China, 2020-12]",-0.308,0.553,-1.204,0.63,0.004,0.006,18733.0,4756.0,1.0
"b[North China, 2021-01]",-0.299,0.557,-1.261,0.567,0.004,0.006,17750.0,6008.0,1.0
"b[North China, 2021-02]",-0.272,0.561,-1.241,0.608,0.004,0.006,19076.0,5540.0,1.0
"b[North China, 2021-03]",-0.237,0.551,-1.19,0.636,0.004,0.006,19023.0,5292.0,1.0
"b[North China, 2021-04]",-0.222,0.563,-1.152,0.699,0.004,0.007,15763.0,5296.0,1.0
"b[North China, 2021-05]",-0.205,0.554,-1.091,0.708,0.004,0.007,17032.0,5982.0,1.0
"b[North China, 2021-06]",-0.185,0.557,-1.125,0.705,0.004,0.007,16534.0,5635.0,1.0
"b[North China, 2021-07]",-0.179,0.547,-1.113,0.694,0.004,0.007,19677.0,5483.0,1.0
"b[North China, 2021-08]",-0.13,0.534,-0.972,0.772,0.004,0.006,15939.0,5930.0,1.0
"b[North China, 2021-09]",-0.104,0.55,-1.048,0.765,0.004,0.007,15699.0,5749.0,1.0
"b[North China, 2021-10]",-0.085,0.541,-0.963,0.811,0.004,0.007,18799.0,5764.0,1.0
"b[North China, 2021-11]",-0.071,0.543,-0.958,0.836,0.004,0.007,16207.0,5668.0,1.0
"b[North China, 2021-12]",-0.044,0.539,-0.916,0.847,0.004,0.007,17125.0,5558.0,1.0
"b[North China, 2022-01]",0.007,0.519,-0.835,0.859,0.004,0.007,17423.0,5790.0,1.0
"b[North China, 2022-02]",0.091,0.521,-0.796,0.914,0.005,0.007,11944.0,5270.0,1.0
"b[North China, 2022-03]",-0.059,0.562,-0.986,0.857,0.004,0.008,18056.0,5299.0,1.0
"b[North China, 2022-04]",-0.387,0.54,-1.277,0.495,0.004,0.006,16514.0,5029.0,1.0
"b[North China, 2022-05]",-0.675,0.396,-1.313,-0.023,0.004,0.003,11397.0,6140.0,1.0
"b[North China, 2022-06]",-0.541,0.3,-1.047,-0.055,0.003,0.002,13787.0,6146.0,1.0
"b[North China, 2022-07]",-0.247,0.249,-0.665,0.15,0.002,0.002,18481.0,5811.0,1.0
"b[North China, 2022-08]",-0.281,0.265,-0.698,0.174,0.002,0.002,17872.0,5817.0,1.0
"b[North China, 2022-09]",-0.49,0.284,-0.953,-0.021,0.003,0.002,12427.0,6722.0,1.0
"b[North China, 2022-10]",-0.555,0.293,-1.02,-0.065,0.003,0.002,11535.0,6341.0,1.0
"b[North China, 2022-11]",-0.577,0.297,-1.058,-0.088,0.003,0.002,11396.0,6941.0,1.0
"b[North China, 2022-12]",-0.466,0.31,-0.969,0.045,0.003,0.002,12582.0,5947.0,1.0
"b[North China, 2023-01]",-0.177,0.366,-0.807,0.389,0.003,0.004,16250.0,5018.0,1.0
"b[North China, 2023-02]",-0.168,0.485,-0.95,0.64,0.004,0.006,18821.0,5222.0,1.0
"b[North China, 2023-03]",-0.184,0.545,-1.092,0.698,0.004,0.006,19034.0,5724.0,1.0
"b[North China, 2023-04]",-0.2,0.551,-1.155,0.645,0.004,0.007,18936.0,5363.0,1.0
"b[North China, 2023-05]",-0.224,0.552,-1.142,0.659,0.004,0.006,19206.0,5903.0,1.0
"b[North China, 2023-06]",-0.298,0.518,-1.159,0.537,0.004,0.006,19780.0,5470.0,1.0
"b[North China, 2023-07]",-0.282,0.533,-1.158,0.602,0.004,0.006,17310.0,6047.0,1.0
"b[North China, 2023-08]",-0.158,0.543,-1.056,0.734,0.004,0.007,17092.0,4878.0,1.0
"b[North China, 2023-09]",-0.0,0.46,-0.777,0.731,0.004,0.006,15349.0,5344.0,1.0
"b[North China, 2023-10]",0.0,0.391,-0.648,0.622,0.003,0.005,16807.0,5766.0,1.0
"b[North China, 2023-11]",0.09,0.336,-0.453,0.65,0.002,0.004,18282.0,5871.0,1.0
"b[North China, 2023-12]",0.036,0.339,-0.52,0.607,0.003,0.004,18153.0,5667.0,1.0
"b[Oceania, 2017-01]",-0.207,0.491,-0.989,0.622,0.004,0.006,14568.0,5724.0,1.0
"b[Oceania, 2017-02]",-0.178,0.505,-1.034,0.61,0.004,0.006,15936.0,5485.0,1.0
"b[Oceania, 2017-03]",-0.217,0.512,-1.063,0.64,0.004,0.005,15956.0,6435.0,1.0
"b[Oceania, 2017-04]",-0.209,0.494,-1.0,0.61,0.004,0.005,14958.0,5734.0,1.0
"b[Oceania, 2017-05]",-0.19,0.492,-1.009,0.593,0.004,0.006,14700.0,6139.0,1.0
"b[Oceania, 2017-06]",-0.181,0.526,-1.015,0.693,0.004,0.006,16749.0,6059.0,1.0
"b[Oceania, 2017-07]",-0.21,0.554,-1.147,0.662,0.004,0.007,18281.0,5190.0,1.0
"b[Oceania, 2017-08]",-0.209,0.555,-1.133,0.673,0.004,0.006,15335.0,5564.0,1.0
"b[Oceania, 2017-09]",-0.18,0.557,-1.087,0.734,0.004,0.008,16709.0,4938.0,1.0
"b[Oceania, 2017-10]",-0.179,0.539,-1.058,0.697,0.004,0.007,18857.0,5112.0,1.0
"b[Oceania, 2017-11]",-0.171,0.524,-1.09,0.633,0.004,0.006,18125.0,5399.0,1.0
"b[Oceania, 2017-12]",-0.176,0.512,-0.993,0.678,0.004,0.006,18139.0,5566.0,1.0
"b[Oceania, 2018-01]",-0.176,0.522,-1.063,0.65,0.004,0.006,16809.0,5826.0,1.0
