,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[5],0.136,0.456,-0.633,0.855,0.003,0.006,18193.0,5528.0,1.0
mu[6],-0.127,0.595,-1.129,0.828,0.005,0.007,16955.0,5692.0,1.0
mu[7],-0.125,0.403,-0.806,0.518,0.003,0.005,18177.0,5604.0,1.0
mu[8],-0.269,0.339,-0.803,0.309,0.002,0.003,19126.0,5440.0,1.0
mu[9],-0.125,0.434,-0.821,0.602,0.003,0.005,16587.0,5858.0,1.0
mu[10],0.336,0.489,-0.485,1.123,0.003,0.005,19702.0,5761.0,1.0
mu[11],0.15,0.591,-0.802,1.145,0.004,0.008,18406.0,6132.0,1.0
mu[12],0.027,0.393,-0.603,0.679,0.003,0.005,16785.0,5224.0,1.0
mu[13],-0.094,0.345,-0.68,0.434,0.003,0.005,18186.0,5188.0,1.0
mu[14],0.13,0.327,-0.424,0.649,0.002,0.004,17590.0,5586.0,1.0
mu[15],0.093,0.103,-0.073,0.264,0.001,0.001,16597.0,5533.0,1.0
mu[16],-0.25,0.375,-0.88,0.344,0.003,0.004,18135.0,5468.0,1.0
mu[17],0.222,0.376,-0.399,0.814,0.003,0.004,21132.0,5937.0,1.0
mu[18],0.148,0.559,-0.784,1.055,0.004,0.007,17472.0,5991.0,1.0
mu[19],0.393,0.455,-0.338,1.157,0.003,0.004,18055.0,5070.0,1.0
mu[20],0.079,0.563,-0.802,1.039,0.004,0.008,18467.0,5284.0,1.0
mu[21],-0.043,0.402,-0.693,0.62,0.003,0.006,18244.0,5262.0,1.0
mu[22],-0.02,0.466,-0.745,0.784,0.003,0.006,18107.0,5940.0,1.0
mu[23],-0.154,0.154,-0.419,0.086,0.001,0.001,16939.0,5637.0,1.0
mu[24],-0.272,0.243,-0.668,0.137,0.002,0.002,18754.0,6222.0,1.0
mu[25],-0.133,0.339,-0.685,0.428,0.003,0.004,18136.0,6039.0,1.0
mu[26],0.09,0.43,-0.62,0.768,0.003,0.006,18956.0,5574.0,1.0
mu[27],0.07,0.244,-0.327,0.481,0.002,0.003,19180.0,5160.0,1.0
mu[28],0.035,0.166,-0.229,0.316,0.001,0.002,19366.0,5463.0,1.0
mu[29],0.374,0.48,-0.393,1.17,0.003,0.004,21630.0,5830.0,1.0
mu[30],-0.105,0.242,-0.503,0.29,0.002,0.003,16554.0,4550.0,1.0
mu[31],-0.085,0.361,-0.675,0.505,0.003,0.005,18351.0,5231.0,1.0
mu[32],-0.051,0.535,-0.943,0.825,0.004,0.007,18924.0,5948.0,1.0
mu[33],-0.285,0.234,-0.683,0.083,0.002,0.002,19266.0,5455.0,1.0
mu[34],-0.395,0.397,-1.086,0.223,0.003,0.003,16847.0,5676.0,1.0
mu[35],-0.147,0.143,-0.382,0.089,0.001,0.001,15900.0,4823.0,1.0
mu[36],-0.019,0.239,-0.41,0.373,0.002,0.003,16440.0,5700.0,1.0
mu[37],-0.223,0.251,-0.626,0.197,0.002,0.002,18651.0,5935.0,1.0
mu[38],0.049,0.319,-0.47,0.578,0.002,0.004,16991.0,6009.0,1.0
mu[39],-0.103,0.336,-0.657,0.442,0.003,0.004,17345.0,6093.0,1.0
mu[40],-0.341,0.415,-1.009,0.342,0.003,0.004,17613.0,5755.0,1.0
mu[41],-0.157,0.164,-0.431,0.105,0.001,0.001,18566.0,6190.0,1.0
mu[42],-0.129,0.27,-0.573,0.309,0.002,0.003,18154.0,5598.0,1.0
mu[43],0.299,0.475,-0.48,1.067,0.003,0.005,19637.0,5820.0,1.0
