var,year,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
air-traffic,2018,South-eastern Asia,0.4665752460011714,0.10491120121233116,0.28776248279012223,0.633643609779925,0.2622911863959688,0.6684455989155214
air-traffic,2017,South-eastern Asia,0.45681633293108415,0.10620251815280317,0.2873313550687433,0.6341479286619353,0.25079952810136724,0.6659932799159834
air-traffic,2023,Southern Asia,0.3366944878086115,0.16594694024059223,0.05233917529481605,0.5999190654798242,0.0072984084253577,0.6607238682681108
air-traffic,2022,Southern Asia,0.30999548935159327,0.11263582693373216,0.11776201143950309,0.4862111823613569,0.09684552094804916,0.5314565461081099
air-traffic,2021,Southern Asia,0.8406992860597647,0.12190045156127309,0.6465401166230978,1.0444901330833358,0.606342239253111,1.0873435055930956
air-traffic,2020,Southern Asia,0.6729323660983569,0.09102614135669776,0.5300187251877327,0.8264455717198409,0.4950461126961738,0.8476604690625318
air-traffic,2019,Southern Asia,0.3867416311585675,0.10754983330491195,0.20998418461192647,0.5648695527206009,0.18274020570614466,0.605422941617894
air-traffic,2018,Southern Asia,0.4541825473437672,0.10371423812320507,0.28190582621381155,0.6214731186885658,0.2455108777537124,0.648625380658819
air-traffic,2017,Southern Asia,0.47784457480234915,0.11589863721544735,0.2916377416716022,0.6698001837655663,0.24620842392562328,0.7005718755330734
air-traffic,2023,Russia,0.2971856329407366,0.1746444744360253,0.013485253860306967,0.5909956342541959,-0.038288617906349326,0.6448174699355703
air-traffic,2022,Russia,0.384566711364286,0.10840049774573364,0.2129435292321168,0.5632352354607307,0.1653142479499402,0.5899321238684102
air-traffic,2021,Russia,0.36321204761953046,0.10864429622907208,0.1909246246928478,0.5467319381079814,0.14513094727445505,0.5734510369947621
air-traffic,2020,Russia,0.3968354863749239,0.09923415946020168,0.22836355792037466,0.5597339459346897,0.1932219140204545,0.5842150440779432
air-traffic,2019,Russia,0.43798806886113384,0.11383077690680005,0.25376215049766065,0.6289187939132147,0.21038514420219556,0.6593082539449089
air-traffic,2018,Russia,0.4084804178543386,0.11472135794199663,0.22102903956224118,0.5987652724989503,0.18028362976056703,0.631799485348264
air-traffic,2017,Russia,0.35753168077262115,0.11190155064624661,0.1738306348866524,0.5386245320554766,0.1282911557033871,0.5676753542503243
air-traffic,2023,Europe,0.5091257000265861,0.1863722777649079,0.21039067136023612,0.8177799934161049,0.15788955469917731,0.8851838438518637
air-traffic,2022,Europe,0.3117763349521522,0.10766164371168192,0.13560962702894414,0.4870381776967026,0.10441693665910799,0.5224456796198852
air-traffic,2021,Europe,0.3342645816867645,0.08197039691151582,0.20952961363830597,0.47942874374724026,0.17096349870673108,0.49243581599640707
air-traffic,2020,Europe,0.6004410346887983,0.09149582612255378,0.44569875849276974,0.7463058462748368,0.4224500419630761,0.778365419956886
air-traffic,2019,Europe,0.396488599761229,0.10565918562810747,0.21667781113923584,0.5629439920705971,0.18414180543350403,0.5987461261432608
air-traffic,2018,Europe,0.4414698008358376,0.1061478650092688,0.2697149579594421,0.6138684040500538,0.23083190382094976,0.6475320037065863
air-traffic,2017,Europe,0.45865716114921634,0.10713886571998783,0.2926292106234017,0.6446245289733837,0.25831820662505794,0.684116766482505
