period,region_final_dep,region_final_arr,Num_month,Num,Num_per_month
Period 3,Southern Asia,South-eastern Asia,24,6609552,275398
Period 3,Southern Asia,Southern Asia,,NA,NA
Period 3,Southern Asia,Western Asia,24,36046058,1501919.1
Period 3,Western Asia,Africa,24,21544678,897694.9
Period 3,Western Asia,Europe,24,57267916,2386163.2
Period 3,Western Asia,Japan/Korea,24,695863,28994.3
Period 3,Western Asia,North America,24,7434728,309780.3
Period 3,Western Asia,North China,24,109985,4582.7
Period 3,Western Asia,Oceania,24,800709,33362.9
Period 3,Western Asia,Russia,24,8492392,353849.7
Period 3,Western Asia,South America,24,747208,31133.7
Period 3,Western Asia,South China,24,665050,27710.4
Period 3,Western Asia,South-eastern Asia,24,6545070,272711.2
Period 3,Western Asia,Southern Asia,24,37431967,1559665.3
Period 3,Western Asia,Western Asia,,NA,NA
Period 4,Africa,Africa,,NA,NA
Period 4,Africa,Europe,9,22400829,2488981
Period 4,Africa,Japan/Korea,9,161883,17987
Period 4,Africa,North America,9,2642702,293633.6
Period 4,Africa,North China,9,183013,20334.8
Period 4,Africa,Oceania,9,239796,26644
Period 4,Africa,Russia,9,631914,70212.7
Period 4,Africa,South America,9,153566,17062.9
Period 4,Africa,South China,9,603616,67068.4
Period 4,Africa,South-eastern Asia,9,510423,56713.7
Period 4,Africa,Southern Asia,9,1083983,120442.6
Period 4,Africa,Western Asia,9,11575272,1286141.3
Period 4,Europe,Africa,9,22583003,2509222.6
Period 4,Europe,Europe,,NA,NA
Period 4,Europe,Japan/Korea,9,3265465,362829.4
Period 4,Europe,North America,9,30446157,3382906.3
Period 4,Europe,North China,9,893023,99224.8
Period 4,Europe,Oceania,9,2000328,222258.7
Period 4,Europe,Russia,9,1068450,118716.7
Period 4,Europe,South America,9,5677848,630872
Period 4,Europe,South China,9,3347265,371918.3
Period 4,Europe,South-eastern Asia,9,5913943,657104.8
Period 4,Europe,Southern Asia,9,5848014,649779.3
Period 4,Europe,Western Asia,9,33839702,3759966.9
Period 4,Japan/Korea,Africa,9,179255,19917.2
Period 4,Japan/Korea,Europe,9,3347569,371952.1
Period 4,Japan/Korea,Japan/Korea,,NA,NA
Period 4,Japan/Korea,North America,9,4176003,464000.3
Period 4,Japan/Korea,North China,9,3042160,338017.8
